
[ALPHA] quantile curve head
entry_mode  delay_days  quantile  horizon_days  long_mean  short_mean  spread_mean  long_n  short_n
next_open,1,3,1,-1.2006890145651253e-05,7710
next_open,1,3,2,0.002046756906005266,7710
next_open,1,3,3,0.0014977984440870291,6939
next_open,1,3,4,0.001760974103359995,7710
next_open,1,3,5,0.0014454631962556703,7710
next_open,1,3,6,0.0013699245941079794,6939
next_open,1,3,7,0.0019692403750392723,7710
next_open,1,3,8,0.0020789502097301096,6939
next_open,1,3,9,0.0017604940914214815,7710
next_open,1,3,10,0.002065155992757372,7710
next_open,1,4,1,0.0008850205345221074,7700
next_open,1,4,2,0.002870489221764108,7700
next_open,1,4,3,0.002308431529787889,6930
next_open,1,4,4,0.002747046539363387,7700
next_open,1,4,5,0.0018572367992161678,7700
next_open,1,4,6,0.002036880530735128,6930
next_open,1,4,7,0.0026179488320486857,7700
next_open,1,4,8,0.0025710200882364947,6930
next_open,1,4,9,0.0021881654406925863,7700
next_open,1,4,10,0.002254368541613198,7700
next_open,1,5,1,0.001518079774069488,7690
next_open,1,5,2,0.0038123029520935534,7690
next_open,1,5,3,0.002972048846132354,6921
next_open,1,5,4,0.0033563861867889505,7690
next_open,1,5,5,0.002237441380181524,7690
next_open,1,5,6,0.0026368245643290512,6921
next_open,1,5,7,0.003318621288980241,7690
next_open,1,5,8,0.0031579222240225423,6921
next_open,1,5,9,0.002800396492664725,7690
next_open,1,5,10,0.0026181868969179503,7690
next_open,2,1,1,-0.0004051764384616982,7720
next_open,2,1,2,0.0003761051746512841,7720
next_open,2,1,3,0.00010101637532008372,6948
next_open,2,1,4,0.00047828986697155413,7720
next_open,2,1,5,0.00039389810250968184,7720
next_open,2,1,6,0.0002560169667017075,6948
next_open,2,1,7,0.00033132618579523136,7720
next_open,2,1,8,0.000552721138483626,6948
next_open,2,1,9,0.0004335432447590535,7720
next_open,2,1,10,0.0005338108528616717,7720
next_open,2,2,1,0.0001650056650334284,7710
next_open,2,2,2,0.0013309977878217423,7710
next_open,2,2,3,0.0008917529833758427,6939
next_open,2,2,4,0.0011619886592303954,7710
next_open,2,2,5,0.0007701664184942114,7710
next_open,2,2,6,0.0005843830055657298,6939
next_open,2,2,7,0.0011492702345810386,7710
next_open,2,2,8,0.00118638843071285,6939
next_open,2,2,9,0.0010544665146443317,7710
next_open,2,2,10,0.0010594933746613689,7710
next_open,2,3,1,0.0010137742722546067,7700
next_open,2,3,2,0.0021897532937695673,7700
next_open,2,3,3,0.001706650180253238,6930
next_open,2,3,4,0.0021609362333705777,7700
next_open,2,3,5,0.0011944078382072438,7700
next_open,2,3,6,0.0012651984580217574,6930
next_open,2,3,7,0.0018029157623196163,7700
next_open,2,3,8,0.001682197977439081,6930
next_open,2,3,9,0.0014873128623328696,7700
next_open,2,3,10,0.001274348105581041,7700
next_open,2,4,1,0.0017059388119246338,7690
next_open,2,4,2,0.0031503684009870363,7690
next_open,2,4,3,0.0023883302610653535,6921
next_open,2,4,4,0.0027837946844933253,7690
next_open,2,4,5,0.0015758739457373823,7690
next_open,2,4,6,0.0018708429650450813,6921
next_open,2,4,7,0.0025012034396284604,7690
next_open,2,4,8,0.0022762423052537753,6921
next_open,2,4,9,0.002119389154529787,7690
next_open,2,4,10,0.001668754765310299,7690
next_open,2,5,1,0.0026123966224795765,7680
next_open,2,5,2,0.003783779951012799,7680
next_open,2,5,3,0.003021036524666207,6912
next_open,2,5,4,0.0035107364608517916,7680
next_open,2,5,5,0.002130608727428261,7680
next_open,2,5,6,0.0021276447289594676,6912
next_open,2,5,7,0.003217909612357146,7680
next_open,2,5,8,0.00296944051222246,6912
next_open,2,5,9,0.002676712929647342,7680
next_open,2,5,10,0.0022045140985591607,7680
next_close,0,1,1,0.0,7740
next_close,0,1,2,0.0,7740
next_close,0,1,3,0.0,6966
next_close,0,1,4,0.0,7740
next_close,0,1,5,0.0,7740
next_close,0,1,6,0.0,6966
next_close,0,1,7,0.0,7740
next_close,0,1,8,0.0,6966
next_close,0,1,9,0.0,7740
next_close,0,1,10,0.0,7740
next_close,0,2,1,-6.33148229539078e-05,7730
next_close,0,2,2,0.0005861608780211046,7730
next_close,0,2,3,0.0006500348932380967,6957
next_close,0,2,4,0.0005722503565615399,7730
next_close,0,2,5,0.0007291666631543961,7730
next_close,0,2,6,0.000866316928778028,6957
next_close,0,2,7,0.0006664258567247482,7730
next_close,0,2,8,0.0006956597581540258,6957
next_close,0,2,9,0.000804900509638832,7730
next_close,0,2,10,0.0010116933467622907,7730
next_close,0,3,1,-0.00044037083984800574,7720
next_close,0,3,2,0.0014470080697591232,7720
next_close,0,3,3,0.0010088280093754746,6948
next_close,0,3,4,0.0014249239603306393,7720
next_close,0,3,5,0.0014796493110621615,7720
next_close,0,3,6,0.0014711179554601562,6948
next_close,0,3,7,0.0013181879465306837,7720
next_close,0,3,8,0.00169665039065498,6948
next_close,0,3,9,0.0016482683084415952,7720
next_close,0,3,10,0.0020711969339987676,7720
next_close,0,4,1,0.00020805101027700196,7710
next_close,0,4,2,0.0024807040078191774,7710
next_close,0,4,3,0.0018128764913189499,6939
next_close,0,4,4,0.0021279410490102906,7710
next_close,0,4,5,0.001874187498651714,7710
next_close,0,4,6,0.001839309608638235,6939
next_close,0,4,7,0.002143588111905497,7710
next_close,0,4,8,0.002352623090561519,6939
next_close,0,4,9,0.002281871195205776,7710
next_close,0,4,10,0.002540437316817502,7710
next_close,0,5,1,0.0011274337322406658,7700
next_close,0,5,2,0.003297794825303725,7700
