factor,horizon,ic,n_days,abs_ic
ret3,fwd_3d,-0.0071618461808514115,785,0.0071618461808514115
mom3,fwd_3d,-0.0071618461808514115,785,0.0071618461808514115
rel_volume_60,fwd_5d,-0.007148051769829179,767,0.007148051769829179
vol5,fwd_1d,-0.007113336100074323,787,0.007113336100074323
vol_persist_5,fwd_2d,-0.00710448920383237,778,0.00710448920383237
accel_10_5,fwd_2d,-0.007067089168872903,779,0.007067089168872903
rel_volume_60,fwd_2d,-0.007051797580043826,770,0.007051797580043826
range_comp_5_20,fwd_2d,-0.007045832001058902,780,0.007045832001058902
ret3,fwd_1d,-0.006969169719067656,787,0.006969169719067656
mom3,fwd_1d,-0.006969169719067656,787,0.006969169719067656
amihud_shock,fwd_3d,-0.006955736926765365,778,0.006955736926765365
amihud_imbalance,fwd_3d,-0.006955736926765365,778,0.006955736926765365
dist_low_20,fwd_2d,0.006949810655681995,780,0.006949810655681995
rel_volume_20,fwd_5d,-0.006940018099977478,777,0.006940018099977478
cs_relvol_z,fwd_5d,-0.006940018099977478,786,0.006940018099977478
liq_imbalance,fwd_5d,-0.006940018099977478,777,0.006940018099977478
rev3,fwd_1d,0.006927809997926606,788,0.006927809997926606
vol10,fwd_3d,0.006913973670853864,783,0.006913973670853864
ret_sign_imbalance_10,fwd_3d,-0.006907691702224685,783,0.006907691702224685
overnight_pressure,fwd_2d,0.006815851857478317,788,0.006815851857478317
ret10,fwd_1d,-0.006809851110193538,780,0.006809851110193538
mom10,fwd_1d,-0.006809851110193538,780,0.006809851110193538
open_close_ret,fwd_5d,-0.006797853693333902,786,0.006797853693333902
body,fwd_5d,-0.006796728136375592,786,0.006796728136375592
intraday_reversal_pressure,fwd_5d,0.006795439945015,786,0.006795439945015
liq_shock,fwd_5d,-0.006790532350097302,777,0.006790532350097302
turnover_imbalance,fwd_5d,-0.006790532350097302,777,0.006790532350097302
ema_slope_10,fwd_2d,-0.006751484474813203,785,0.006751484474813203
rev3,fwd_3d,0.006743987858736021,786,0.006743987858736021
dist_ema50,fwd_5d,0.006665604080555104,772,0.006665604080555104
ret5,fwd_3d,-0.006632157534668196,783,0.006632157534668196
mom5,fwd_3d,-0.006632157534668196,783,0.006632157534668196
cs_mom5_rank,fwd_3d,-0.006632157534668196,783,0.006632157534668196
pressure,fwd_1d,-0.006630831027141369,790,0.006630831027141369
body_to_range,fwd_1d,-0.006621200317542948,790,0.006621200317542948
lower_wick,fwd_1d,0.006451235412365288,790,0.006451235412365288
cs_ret_z,fwd_3d,-0.006425090550446448,788,0.006425090550446448
rev1,fwd_3d,0.006425090550446446,787,0.006425090550446446
cs_rev1_rank,fwd_3d,0.006425090550446446,787,0.006425090550446446
